feature,importance
HH_jit_L0.01_mean,0.14109623987323291
HH_L0.01_radius,0.07304918117235462
HpHp_L0.1_std,0.06382188991795773
HpHp_L0.01_radius,0.05418804354687904
HH_L0.01_covariance,0.05253298790107602
HpHp_L0.1_radius,0.05201277870925459
HpHp_L0.01_std,0.046935489097960595
MI_dir_L0.01_weight,0.04255705044951731
HH_L0.01_pcc,0.03446640911353859
HpHp_L0.01_weight,0.034144423416430696
HpHp_L0.1_weight,0.02280126804140375
HH_L0.1_pcc,0.022622864966297514
HH_jit_L0.1_variance,0.020559029200057383
HpHp_L1_radius,0.01992754873852291
HH_L0.1_covariance,0.016353679533065615
MI_dir_L0.1_weight,0.016180844512529362
HH_L0.1_radius,0.015778236633089037
HH_jit_L5_mean,0.015492103334775706
HH_L0.01_std,0.015332015107570802
H_L1_weight,0.013867538447775362
HH_L0.01_weight,0.013312004837519029
H_L0.1_weight,0.013267012172668038
HH_jit_L0.1_mean,0.012878564740727053
MI_dir_L0.1_variance,0.012596993161032237
HpHp_L0.01_covariance,0.012064506960460455
HH_jit_L0.01_variance,0.009407376382420118
H_L0.01_weight,0.008935240551240616
H_L3_weight,0.008575445395527197
MI_dir_L1_weight,0.008347952848438624
HH_jit_L3_mean,0.007278247938021185
HpHp_L1_std,0.006658660922178869
HpHp_L0.01_pcc,0.006374743807166338
H_L5_weight,0.006271616888502545
HH_jit_L1_mean,0.00609342669070982
HpHp_L3_radius,0.005872635926742234
MI_dir_L0.1_mean,0.005812996696514894
HH_L1_pcc,0.005728400870860044
HH_L0.1_std,0.0054958138837167
MI_dir_L1_mean,0.0046825028452366175
HH_L0.1_weight,0.004508192726017351
HpHp_L0.01_mean,0.004222215028169408
MI_dir_L3_weight,0.003428100024010875
HpHp_L5_radius,0.0034144139849068196
HpHp_L3_std,0.0032238061600365787
HpHp_L0.01_magnitude,0.002905285547252308
MI_dir_L5_variance,0.0028481011548245278
MI_dir_L5_weight,0.0028355279486274943
HH_jit_L1_weight,0.002789793971174023
H_L0.1_mean,0.0024153092340995605
HpHp_L5_mean,0.0024116161866427864
HH_jit_L5_weight,0.0021978411961851544
H_L0.01_mean,0.0021499580401902326
HH_L1_weight,0.001998831084745266
HH_jit_L0.1_weight,0.0019512584948692612
HpHp_L0.1_pcc,0.0018420561953350317
HH_jit_L0.01_weight,0.001429268158749964
HH_L1_mean,0.0013733739403624192
HH_L1_radius,0.0013567401702209239
HpHp_L0.1_magnitude,0.0012977525692566907
HH_L0.1_magnitude,0.0012827882844163765
MI_dir_L0.01_mean,0.001187434047283234
HH_L0.01_magnitude,0.0011413651479069908
HpHp_L0.1_mean,0.0011110278246106889
HpHp_L1_magnitude,0.0009210748141773243
H_L1_mean,0.0007456069760412672
HpHp_L3_mean,0.0007025768382635968
MI_dir_L1_variance,0.0006018799214769893
HH_L0.1_mean,0.0005835560809508661
HH_L1_covariance,0.0005519875419181755
HpHp_L5_std,0.0005380629905661097
HpHp_L3_magnitude,0.00041884142094692503
HpHp_L5_covariance,0.0003950208788016412
MI_dir_L0.01_variance,0.0003756136795244576
HH_L3_radius,0.00035669195043827844
HpHp_L1_weight,0.0003359832527747207
HH_L1_magnitude,0.00033486798218632357
H_L5_variance,0.0003156465501697538
HH_L3_magnitude,0.0003125547845355636
HpHp_L3_weight,0.0003080193472876551
HH_L0.01_mean,0.00023932009929671246
H_L3_variance,0.00022855178394675876
HpHp_L5_magnitude,0.00022760660596496092
HH_L5_radius,0.00020568555436739264
HH_L5_std,0.00018327996043482567
HpHp_L1_pcc,0.00017161468433439774
HH_L5_magnitude,0.00016855974872359957
MI_dir_L3_mean,0.00016774303823529626
HH_L1_std,0.00016763660136247488
H_L0.01_variance,0.00016142568759298012
H_L0.1_variance,0.0001563493021296983
HpHp_L5_weight,0.00015559266900979396
HH_L5_mean,0.00015198014149732465
HH_jit_L1_variance,0.0001246062144355236
HH_jit_L3_weight,0.00011885193386541736
HpHp_L1_mean,0.00010677066014381836
HH_L3_weight,0.00010008030904445034
HH_L5_pcc,9.163167290413652e-05
H_L5_mean,7.450739698757409e-05
MI_dir_L3_variance,6.724525979898659e-05
HH_jit_L3_variance,5.907495129280781e-05
MI_dir_L5_mean,5.776852591264782e-05
HH_jit_L5_variance,5.5599185796628226e-05
H_L1_variance,4.479612032557022e-05
H_L3_mean,3.86618999419313e-05
HH_L3_mean,3.667097264326157e-05
HH_L5_weight,2.6199024298495217e-05
HH_L5_covariance,2.603404710852446e-05
HH_L3_std,2.531799307373581e-05
HH_L3_pcc,2.5208661242409965e-05
HpHp_L3_covariance,2.0822623071968807e-05
HH_L3_covariance,9.288444862824724e-06
HpHp_L1_covariance,7.846728860655196e-06
HpHp_L3_pcc,2.689640924288574e-06
HpHp_L0.1_covariance,7.392020086449906e-07
HpHp_L5_pcc,4.352916338113266e-07
