feature,importance
HH_jit_L0.01_mean,0.11778483210617237
HpHp_L0.1_weight,0.05498558128648529
H_L0.01_weight,0.04941554565558225
HH_L0.01_radius,0.046479263463216416
HH_jit_L3_mean,0.037633539875368965
HpHp_L0.01_weight,0.03704340175082702
MI_dir_L0.1_weight,0.03585967383915982
MI_dir_L0.1_mean,0.02928568526234665
HH_L0.01_pcc,0.028436727281674186
HH_L0.01_covariance,0.027857159824451666
MI_dir_L1_weight,0.02781051428686797
HH_L0.01_magnitude,0.02607564943435719
HH_jit_L5_mean,0.025574141471089062
HH_jit_L1_mean,0.023942166501421672
MI_dir_L3_weight,0.02117011701689143
H_L0.1_weight,0.02072594278145702
HH_L0.01_weight,0.01975877308597001
MI_dir_L0.01_variance,0.018046945672925932
HH_L0.01_std,0.016676360327548746
MI_dir_L1_mean,0.016196691772263683
MI_dir_L0.01_weight,0.016093286607481425
HH_jit_L0.1_mean,0.013890437225401519
H_L1_weight,0.013753110420915015
H_L0.1_variance,0.01307038227296998
MI_dir_L0.1_variance,0.013005513056774791
HH_jit_L0.1_weight,0.01275035349121438
HH_L0.1_std,0.011826726311205736
H_L3_weight,0.01113485945012039
HH_L0.1_covariance,0.010852021864533306
HH_jit_L3_variance,0.010074314037554086
H_L0.01_mean,0.010054682346338915
HH_L0.1_radius,0.00932517980174679
HH_jit_L0.01_weight,0.009001195945486738
HH_L3_magnitude,0.008897595919900882
HH_L0.1_pcc,0.008804556914163139
H_L0.1_mean,0.008756464701261029
HpHp_L0.01_std,0.00872479933123336
HpHp_L3_magnitude,0.008688055275307834
HH_L0.01_mean,0.008513059191791938
MI_dir_L5_weight,0.008495681666193758
MI_dir_L0.01_mean,0.007502636798789057
HpHp_L1_std,0.006019689919683526
H_L0.01_variance,0.005849127029477013
H_L3_mean,0.00569540321645172
MI_dir_L3_mean,0.005637922588967151
H_L5_mean,0.005636311083519225
HH_L1_mean,0.005623647921966533
HH_L3_weight,0.0055147179496529775
HpHp_L1_weight,0.0054056827220451235
HH_L5_mean,0.005037954593059723
HpHp_L3_weight,0.0047988093172237735
HH_jit_L1_weight,0.0043725618353398655
HH_jit_L0.1_variance,0.003837795346985933
HpHp_L0.1_std,0.003479123841076047
HH_jit_L5_variance,0.003317446512548971
HpHp_L0.01_mean,0.0032367900127919656
HH_L5_magnitude,0.002886092146530755
HH_jit_L3_weight,0.002690557842875224
HH_L1_pcc,0.0022516324359017708
MI_dir_L1_variance,0.0021918928912111435
HH_L0.1_magnitude,0.001831857024707479
HH_L0.1_weight,0.0013842124463434484
HH_jit_L0.01_variance,0.0012941110064730269
HpHp_L1_magnitude,0.0011010121001519364
MI_dir_L3_variance,0.00088460403245717
MI_dir_L5_variance,0.0008369112622501369
HpHp_L5_magnitude,0.0007510292551024306
H_L5_variance,0.0006968576983836837
HH_L0.1_mean,0.0006353689962368805
HH_L1_weight,0.0005228251889985772
HpHp_L0.1_magnitude,0.0005153649551465272
HpHp_L0.01_radius,0.00031506461167970666
HH_jit_L1_variance,0.0002041872739954676
H_L1_variance,0.00017922018514459248
H_L5_weight,0.00016310391192885277
HpHp_L0.1_mean,0.00013615698829729281
HH_L1_covariance,0.00012161624586127553
HpHp_L3_radius,7.430636639241268e-05
HpHp_L1_radius,7.058659329073806e-05
MI_dir_L5_mean,6.603367988502668e-05
HpHp_L3_std,5.989228979546968e-05
HpHp_L0.01_pcc,5.4194153198490904e-05
H_L3_variance,4.9347853336058276e-05
HH_L1_magnitude,4.9234356486195025e-05
HpHp_L3_mean,4.778813364169403e-05
HpHp_L5_std,4.699118516023097e-05
HpHp_L0.1_pcc,4.350533971408389e-05
HpHp_L1_mean,4.0363645014098136e-05
HH_L5_weight,3.90562259766631e-05
HH_L1_std,3.136468092996697e-05
HH_L3_mean,2.958848461620914e-05
HH_L3_pcc,2.6475156726153336e-05
HH_jit_L5_weight,2.5979994255465444e-05
HH_L1_radius,2.4185643999874305e-05
HH_L3_std,2.1753043663124382e-05
HH_L3_covariance,2.170940236140394e-05
HH_L5_pcc,1.6997936764381184e-05
H_L1_mean,1.6304279378884226e-05
HpHp_L0.01_magnitude,1.62689924118281e-05
HH_L5_std,1.589348842875308e-05
HpHp_L5_mean,1.545245905145953e-05
HpHp_L5_weight,1.4623157780586682e-05
HH_L3_radius,1.2159851598051437e-05
HpHp_L0.01_covariance,1.0558352368494127e-05
HH_L5_covariance,7.077209526893909e-06
HpHp_L5_radius,6.8658241791007666e-06
HpHp_L0.1_radius,3.207503855383641e-06
HpHp_L1_covariance,2.983210105974402e-06
HpHp_L0.1_covariance,2.369129320475412e-06
HH_L5_radius,2.3501655055971143e-06
HpHp_L1_pcc,1.570138026230242e-06
HpHp_L3_pcc,1.3925194055834367e-06
HpHp_L5_covariance,5.269006762800556e-07
HpHp_L5_pcc,4.921190908428309e-07
HpHp_L3_covariance,2.6281715343371927e-07
