feature,importance
HH_jit_L0.01_mean,0.12862010124167064
HpHp_L0.1_weight,0.057629588242223896
MI_dir_L0.1_weight,0.05062378341406966
HH_L0.01_radius,0.04658899668487417
HpHp_L0.01_weight,0.03956049560575665
HH_jit_L3_mean,0.03301714281294418
H_L0.01_weight,0.031008079014325982
H_L0.1_weight,0.030082596174744684
MI_dir_L0.1_mean,0.029284148347934896
HH_L0.01_pcc,0.028313818145531074
HH_L0.01_covariance,0.027930178964614843
HH_L0.01_magnitude,0.027025300680045897
HH_jit_L1_mean,0.026970424176467313
HH_L1_weight,0.019350181038973957
MI_dir_L0.1_variance,0.01846426754245188
MI_dir_L0.01_weight,0.017624978877669315
H_L1_weight,0.017594788324855056
HH_jit_L5_mean,0.017580582398638103
HH_L0.01_std,0.01651040343317249
H_L0.01_variance,0.016300480614881596
MI_dir_L1_mean,0.01620707942606683
HH_L0.1_radius,0.015150158718200775
HH_jit_L0.1_mean,0.013481305281975782
HH_jit_L0.01_weight,0.012199239577432864
HH_L0.1_std,0.012129175279632486
HpHp_L1_magnitude,0.01212612547642172
H_L3_weight,0.011803938049051606
HH_jit_L3_variance,0.011657091428843731
HH_jit_L1_weight,0.011237481198773791
HH_L5_mean,0.01078355710631134
MI_dir_L5_weight,0.010572343601516567
HH_L0.1_covariance,0.01025181762616656
MI_dir_L1_weight,0.00905996504349689
HpHp_L0.01_std,0.008938186364763916
H_L0.01_mean,0.008781532461758187
HH_jit_L0.1_weight,0.008681477991348906
H_L0.1_mean,0.008634680569595947
MI_dir_L0.01_variance,0.008631673026741176
HH_L3_magnitude,0.008543162312855157
HH_L0.1_pcc,0.008508063200487451
HpHp_L3_magnitude,0.008482205922699703
H_L0.1_variance,0.00844989662841998
MI_dir_L0.01_mean,0.007989465066001027
HH_jit_L1_variance,0.006513598021808127
MI_dir_L3_mean,0.005879655426834729
H_L1_mean,0.00572412095332856
H_L5_mean,0.005641117590175928
H_L3_mean,0.0056144721257275505
HpHp_L1_weight,0.005492871473723495
HpHp_L1_std,0.005328283257172252
MI_dir_L5_variance,0.0045249692943912494
H_L5_variance,0.004165873985042852
HpHp_L0.01_mean,0.0036910902672087557
HpHp_L0.1_std,0.003676089587150075
MI_dir_L3_weight,0.0035302634366420863
H_L3_variance,0.0032064503208389735
HH_L1_pcc,0.0023075267639028996
H_L1_variance,0.0021281897357273896
HH_L0.1_magnitude,0.0017652119883206723
HH_L5_magnitude,0.0016994187855989566
H_L5_weight,0.001036620782286251
HH_L0.1_mean,0.0010117341522562853
HpHp_L5_magnitude,0.0007323209213788313
HpHp_L0.1_magnitude,0.000570152109591152
HH_L0.1_weight,0.0005523830631209462
HH_L0.01_weight,0.0004118756490659357
HpHp_L0.01_radius,0.00041154246279155414
MI_dir_L3_variance,0.0002761963046339731
HH_jit_L0.01_variance,0.0002254607848053224
HpHp_L1_radius,0.0001487003560331481
MI_dir_L5_mean,0.00012245227833179977
HH_L3_mean,8.180385052749746e-05
HH_L1_magnitude,8.032289103916317e-05
HpHp_L3_std,7.5121396309715e-05
HpHp_L3_radius,7.461026511738407e-05
HH_jit_L0.1_variance,7.416523592963147e-05
MI_dir_L1_variance,6.503694501052241e-05
HpHp_L3_weight,5.505433562711172e-05
HH_jit_L5_weight,5.456131110224694e-05
HH_L1_covariance,4.766538557151245e-05
HpHp_L0.1_mean,4.697145684434112e-05
HpHp_L5_radius,4.6289863408327016e-05
HpHp_L0.01_pcc,4.237923843348504e-05
HH_L1_mean,4.0090194598796235e-05
HpHp_L1_mean,3.5133657057159024e-05
HpHp_L3_mean,3.3799303870613716e-05
HpHp_L5_mean,3.215770886221916e-05
HpHp_L5_std,3.197725653554283e-05
HH_L3_weight,3.1178953277614356e-05
HpHp_L0.01_magnitude,2.5377077627283854e-05
HpHp_L0.01_covariance,2.28112219096814e-05
HH_L5_weight,2.105173800477654e-05
HH_L1_radius,2.06242291518031e-05
HpHp_L0.1_pcc,1.9556878552921213e-05
HH_jit_L5_variance,1.936647720316621e-05
HH_jit_L3_weight,1.9302984186173943e-05
HH_L3_std,1.580292865523539e-05
HH_L0.01_mean,1.4883670327286879e-05
HH_L1_std,1.4475707118663804e-05
HH_L5_pcc,1.4391528897846685e-05
HH_L3_radius,1.385012526079835e-05
HH_L3_covariance,1.2639212603927863e-05
HpHp_L0.1_radius,1.0113716738580434e-05
HH_L5_radius,9.638317586249333e-06
HH_L5_covariance,7.792633177257437e-06
HpHp_L3_covariance,6.060993549761833e-06
HH_L3_pcc,5.584046522323006e-06
HpHp_L5_weight,3.7150304654019505e-06
HpHp_L1_pcc,2.2298114155633436e-06
HpHp_L5_pcc,1.5951036598833262e-06
HH_L5_std,1.4433644029249291e-06
HpHp_L5_covariance,7.749815609581589e-07
HpHp_L0.1_covariance,0.0
HpHp_L3_pcc,0.0
HpHp_L1_covariance,0.0
